Mods count: 381
 
                                                          jar name                                                           | notes |                  mod id                   |                      mod name                       |          mod version           |                                                                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                                                                    |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------------------------------------------------------+-------+-------------------------------------------+-----------------------------------------------------+--------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.222 (modloader)                                                                                                |       | neoforge                                  | neoforge                                            | neoforge-21.1.222              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
aces_spell_utils-1.2.5-1.21.1.jar                                                                                            |       | aces_spell_utils                          | Ace's Spell Utils                                   | 1.2.5-1.21.1                   | aces_spell_utils.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1fb8825946420800aa7e52ff286e034146c79377 | 484667742      
AchievementOptimizer-neoforge-1.21.1-2.1.0.jar                                                                               |       | achiopt                                   | AchievementOptimizer                                | 2.1.0                          | achiopt.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 691c4686c52c8740cba6beff392cbc3fbface5b0 | 3649856519     
actuallyadditions-1.3.25+mc1.21.1.jar                                                                                        |       | actuallyadditions                         | Actually Additions                                  | 1.3.25                         | actuallyadditions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 6b82d694f873c0bae4a9757654ee4c719b3d7354 | 1149406267     
additional_attributes-1.21.1-1.2.2.jar                                                                                       |       | additional_attributes                     | Additional Attributes                               | 1.2.2                          | additional_attributes.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | c0b51977a06b3578023a4e16772aa1f8d2b6bcca | 1795295701     
AdLods-1.21.1-9.1.3.0-NeoForge-build.0768.jar                                                                                |       | adlods                                    | Large Ore Deposits                                  | 9.1.3.0                        | adlods.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 86fea187efe30b21a6289ced5f34c9842840caad | 1663534137     
AdvancedAE-1.6.11-1.21.1.jar                                                                                                 |       | advanced_ae                               | Advanced AE                                         | 1.6.11-1.21.1                  | mixins.aae.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 0af8033f7291b9f5062b229053e16b439a906db9 | 3606340089     
    /META-INF/jarjar/ae2addonlib-1.0.3-1.21.1.jar                                                                            |       | ae2addonlib                               | AE2AddonLib                                         | 1.0.3-1.21.1                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jarjar/ae2wtlib_api-19.2.5.jar                                                                                 |       | ae2wtlib_api                              | AE2WTLib API                                        | 19.2.5                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
AdvancedLootInfo-neoforge-1.21.1-1.9.1.jar                                                                                   |       | ali                                       | AdvancedLootInfo                                    | 1.9.1                          | ali.mixins.json, ali.lootjs.mixins.json, ali.neoforge.mixins.json, ali.emi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                             | a56140fbafcaaee6e25297f1e5f8042a2b6e0758 | 3447960552     
AdvancementPlaques-1.21.1-neoforge-1.6.8.jar                                                                                 |       | advancementplaques                        | Advancement Plaques                                 | 1.6.8                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 829d33e71b30e9158d772f5963bb6020f6026d78 | 721102153      
AE2-Things-1.4.2-beta.jar                                                                                                    |       | ae2things                                 | AE2 Things                                          | 1.4.2-beta                     | mixins.ae2things.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 593ad26ae4143f529a63cc63b96c6430ebba67c3 | 777740976      
ae2jeiintegration-1.2.1.jar                                                                                                  |       | ae2jeiintegration                         | AE2 JEI Integration                                 | 1.2.1                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | e99898b3e9c32bf6ac757e7ad50247746622cdfc | 2865319449     
AE2MEGAThings-1.21.1-2.0.4.jar                                                                                               |       | ae2_mega_things                           | AE2 MEGA Things                                     | 2.0.4                          | ae2_mega_things.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 5df271ee7c41abe2fa753842b778a4c7ac1290b9 | 1551914844     
ae2wtlib-19.4.1.jar                                                                                                          |       | ae2wtlib                                  | AE2WTLib                                            | 19.4.1                         | ae2wtlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | e5ac6b8ec0851d9fb23d92281842f1880f0979b7 | 2471661468     
    /META-INF/jarjar/de.mari_023.ae2wtlib_api-19.4.1.jar                                                                     |       | ae2wtlib_api                              | AE2WTLib API                                        | 19.4.1                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
aeinfinitybooster-neoforge-1.21.1-1.0.0.54.jar                                                                               |       | aeinfinitybooster                         | AEInfinityBooster                                   | 1.21.1-1.0.0.54                | AEInfinityBooster.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | d00daf281a852358022b936a21ae272578f00afd | 3029328805     
AI-Improvements-1.21-0.5.3.jar                                                                                               |       | aiimprovements                            | AI-Improvements                                     | 0.5.3                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | b4a8e11384454bcc341043b251db7fb5afdfdf45 | 3163557722     
alltheleaks-1.1.8+1.21.1-neoforge.jar                                                                                        |       | alltheleaks                               | All The Leaks                                       | 1.1.8+1.21.1-neoforge          | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | f91b11a1cfa718b9291fbe7b80356f17a572577e | 810386014      
Almanac-1.21.1-2-neoforge-1.5.2.jar                                                                                          |       | almanac                                   | Almanac                                             | 1.5.2                          | almanac.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | d613dbc38ca5bcc718408db432385c2e67ac763f | 84069332       
almostunified-neoforge-1.21.1-1.4.1.jar                                                                                      |       | almostunified                             | AlmostUnified                                       | 1.21.1-1.4.1                   | almostunified-common.mixins.json, almostunified-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                               | 69913ae6d63f2e10603b272bb8a957c7d0f3f0e4 | 1774341468     
almostunified_ie-neoforge-1.21.1-1.0.1.jar                                                                                   |       | almostunified_ie                          | Almost Unified Immersive Engineering                | 1.21.1-1.0.1                   | almostunified_ie.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 0940f4ac40f87ba12e6978ad80eb8eb756822aba | 2394160491     
alternate_current-mc1.21-1.9.0.jar                                                                                           |       | alternate_current                         | Alternate Current                                   | 1.9.0                          | alternate-current.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 1201c14362f2bad7062d315f8a9b26afbabd2c9c | 4040730689     
AmbientSounds_NEOFORGE_v6.3.6_mc1.21.1.jar                                                                                   |       | ambientsounds                             | AmbientSounds                                       | 6.3.6                          | ambientsounds.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 5b87943eae44057bc2f276e4d7024bf1ff29db2d | 3453711918     
amendments-1.21-2.0.15-neoforge.jar                                                                                          |       | amendments                                | Amendments                                          | 1.21-2.0.15                    | amendments-common.mixins.json, amendments.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 00056f29646f3bf86116b281c2362c0dabdb4533 | 1748391263     
ancientreforging-1.8.4.jar                                                                                                   |       | ancientreforging                          | Ancient Reforging                                   | 1.8.4                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 54673bad0e7b84fdafc6d0802406c01316b37659 | 2086789492     
Apotheosis-1.21.1-8.5.2.jar                                                                                                  |       | apotheosis                                | Apotheosis                                          | 8.5.2                          | apotheosis.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | eb484177b383dc397bfa37d06ef09ec39053bb50 | 3263674676     
